word,sentiment
dicső,1
dicsőít,1
dicsőítsék,1
dicsőség,1
dicsőségesen,1
díjtalan,1
dinamikus,1
dinamizmus,1
diplomatikus,1
diszkrét,1
divatos,1
divatosan,1
dolgos,1
donáció,1
dotáció,1
dögös,1
drukkolás,1
dús,1
dúsgazdag,1
dúskál,1
éberség,1
éden,1
édeni,1
édenkert,1
effektív,1
egészséges,1
egetrengető,1
egybehangol,1
egyenletes,1
egyenletesen,1
egyenlően,1
egyensúly,1
egyértelmű,1
egyértelműen,1
egyesít,1
egyetértés,1
egységesség,1
együttérzés,1
együttérző,1
ékesít,1
ékesszólás,1
ékesszóló,1
ékesszólóan,1
ékít,1
eksztázis,1
elán,1
elbűvöl,1
elbűvölő,1
elbűvölően,1
elbűvölt,1
elegancia,1
elegáns,1
elegánsan,1
elégedett,1
elégedettek,1
elegendő,1
élelmes,1
élénk,1
elérhető,1
éleslátással,1
éleslátó,1
életerő,1
életerős,1
életkedv,1
életmentő,1
életrevaló,1
életszerű,1
életteli,1
életvidám,1
elfogad,1
elfogadás,1
elfogadható,1
elfogulatlan,1
elhivatott,1
elhivatottság,1
elismer,1
elismerés,1
elismerő,1
elismerően,1
elismert,1
elízium,1
éljen,1
éljenzés,1
elkapkodják,1
elkápráztat,1
ellazít,1
ellenszer,1
ellentmondásmentes,1
elmés,1
elnyer,1
elnyerte,1
előítélet-mentes,1
előmenetel,1
előmozdít,1
előny,1
előnyös,1
előnyösebb,1
előnyösen,1
előrelátás,1
előrelépés,1
előrelépést,1
előremutató,1
elővigyázatos,1
előzékeny,1
előzékenység,1
elragadó,1
elragadóan,1
elragadtatás,1
elragadtatott,1
elragadtatva,1
elrendez,1
elsimít,1
elsőbbség,1
elsőrangú,1
élvez,1
élvezet,1
élvezetes,1
élvezi,1
élveztem,1
élvezve,1
elvhű,1
emberközeli,1
emberséges,1
emberségesség,1
emberszerető,1
eminens,1
empátia,1
energia-megtakarítás,1
energiahatékony,1
energiatakarékos,1
energiatudatos,1
energikus,1
engesztelés,1
enyhít,1
enyhül,1
enyhülés,1
ép,1
épelméjű,1
épeszű,1
épkézláb,1
érdekfeszítő,1
érdem,1
érdemes,1
érdemesség,1
érdemleges,1
eredeti,1
eredetiség,1
eredményes,1
eredményesen,1
erény,1
erényes,1
erkölcsös,1
erőszakmentesség,1
érték,1
értékes,1
értelemszerű,1
értelmes,1
értelmesen,1
értelmezhető,1
érthető,1
érvényesül,1
érzékkel,1
érzéssel,1
eseménydús,1
eszes,1
eszményi,1
esszenciális,1
ésszerű,1
ésszerűen,1
esztétikus,1
etalon,1
etikus,1
eufória,1
eufórikus,1
eufórikusan,1
évfolyamelső,1
evidens,1
exkluzív,1
extázis,1
fain,1
faintos,1
fair,1
fájdalommentes,1
fájdalommentesen,1
fantáziadús,1
fáradhatatlan,1
fáradhatatlanság,1
favorit,1
favorizál,1
feddhetetlen,1
fedezet,1
fegyelmezett,1
fejedelmi,1
fejleszt,1
fejlesztések,1
fejlődés,1
fejlődik,1
fejlődő,1
felajánl,1
felajánlás,1
felbecsülhetetlen,1
felderül,1
feldíszít,1
felékesít,1
felelősségteljes,1
felelősségteljesen,1
felelősségtudat,1
felfedezés,1
felfejleszt,1
felfogható,1
felfrissült,1
felhasználóbarát,1
felhőtlen,1
felismerhető,1
feljogosít,1
felkapott,1
fellelkesül,1
fellelkesülve,1
fellendülés,1
felmagasztal,1
felmagasztalás,1
felmagasztaló,1
felmentheti,1
felmentőcsapat,1
feloldoz,1
feloldozás,1
felpezsdít,1
félreérthetetlen,1
félreérthetetlenül,1
félremagyarázhatatlan,1
felséges,1
felszabadítani,1
felszabadított,1
felszabadulás,1
felszabadult,1
felújított,1
felüdít,1
felvidít,1
felvidul,1
felvilágosodás,1
felvillanyoz,1
felvirágzás,1
felvirágzik,1
fennkölt,1
fenntartható,1
fenntarthatóság,1
fenomenális,1
fenséges,1
fénypont,1
fényűző,1
fényűzően,1
fergeteges,1
fess,1
festői,1
feszélyezetlen,1
fesztelen,1
fiatalító,1
fiatalos,1
figyelemfelkeltő,1
figyelmes,1
filantróp,1
fincsi,1
finom,1
finoman,1
finomít,1
finomítani,1
finomítás,1
fitt,1
flottul,1
fontos,1
fordulatos,1
formás,1
forradalmasíthatja,1
forradalmasítja,1
forradalmasító,1
forradalmasította,1
fölékerekedik,1
fölény,1
frankó,1
frappáns,1
friss,1
frisseség,1
frissítő,1
gáláns,1
garancia,1
gavallér,1
gazdagodás,1
gazdagon,1
gazdagság,1
gazdaságos,1
gondos,1
gondoskodás,1
gondtalan,1
görcsmentes,1
gördülékeny,1
gördülékenyen,1
grátisz,1
gratuláció,1
gratuláló,1
gratulálok,1
gusztusos,1
gyarapodás,1
gyengéd,1
gyengéden,1
gyengédség,1
gyerek-barát,1
gyerekbarát,1
gyermekbarát,1
gyógyír,1
gyógyít,1
gyógyulás,1
gyöngéd,1
gyönyör,1
gyönyörű,1
gyönyörűség,1
gyönyörűséges,1
győzelem,1
győzhetetlen,1
győztes,1
gyümölcsöző,1
háborítatlan,1
hajlandó,1
hajlandóság,1
hajrá,1
hajszálpontos,1
hála,1
halálmegvető,1
halálpontos,1
hálás,1
hálásan,1
halleluja,1
hamisítatlan,1
hamvas,1
hangulatos,1
harmónia,1
harmonikus,1
harmonikusan,1
használható,1
hasznavehető,1
hasznos,1
hasznosítható,1
haszon,1
haszonélvező,1
hatásos,1
hatékony,1
hatékonyan,1
hatékonyság,1
hazafi,1
hazafias,1
helyes,1
helyesen,1
helyesség,1
helyreállít,1
helyrehoz,1
helyrehozott,1
helyrejön,1
heroikus,1
hiánytalan,1
hibamentes,1
hibátlan,1
hibátlanul,1
hiteles,1
hithű,1
hivatástudat,1
hódolat,1
honorál,1
hozzáértés,1
hozzáértő,1
hozzáidomul,1
hőscselekedet,1
hősi,1
hősies,1
hősiesen,1
hősiesség,1
hőstett,1
humánum,1
humánus,1
humor,1
humoros,1
humorosan,1
hurrá,1
hűség,1
hűséges,1
hűségesen,1
hűsít,1
ideál,1
ideális,1
idill,1
idilli,1
idillikus,1
idillisztikus,1
időtálló,1
igazmondás,1
igazmondó,1
igazol,1
igazolható,1
igazságos,1
igazságosan,1
igényes,1
igyekezet,1
igyekszik,1
igyekvő,1
ihlet,1
ihletettség,1
illatos,1
illatozó,1
illedelmes,1
illemtudás,1
illemtudó,1
illendő,1
illő,1
imád,1
imádat,1
imádattal,1
imádnivaló,1
imádó,1
imádott,1
imponál,1
impozáns,1
innováció,1
innovatív,1
inspiráció,1
inspirál,1
inspiráló,1
intelligencia,1
intelligens,1
ínycsiklandó,1
ínyencfalat,1
iparkodó,1
irányadó,1
irgalmas,1
irgalom,1
iskolázott,1
istenáldása,1
istencsászár,1
isteni,1
istenien,1
istenkirály,1
ízes,1
izgalmas,1
izgi,1
ízléses,1
ízletes,1
járatos,1
járható,1
jártas,1
javul,1
javulás,1
javuló,1
jelentőségteli,1
jelentőségteljes,1
jeles,1
jeleskedik,1
jellemes,1
jó,1
jóakarat,1
jóakaratú,1
jóakaró,1
jóakarói,1
jócselekedet,1
jófejség,1
jófejű,1
jogos,1
jogosan,1
jogosult,1
jogszerű,1
jogszerűen,1
jogtiszta,1
jóhír,1
jóindulat,1
jóindulattal,1
jóindulatú,1
jóindulatúság,1
jókedélyű,1
jókedv,1
jókedvű,1
jóképű,1
jókötésű,1
jól,1
jólelkű,1
jólelkűség,1
jólesett,1
jólét,1
jólnevelt,1
jólneveltség,1
jóminőségű,1
jómód,1
jómodor,1
jómódú,1
jópofa,1
jóravaló,1
jóság,1
jóságos,1
jószándék,1
jószándékú,1
jószerencse,1
jószívű,1
jószívűség,1
jótáll,1
jótállás,1
jótanács,1
jótékony,1
jótékonykodó,1
jótékonysági,1
jótett,1
jótevő,1
jóvágású,1
jóvátett,1
jövedelmező,1
jutalmazás,1
jutalmazó,1
jutalom,1
jutányos,1
kafa,1
kalandos,1
kapós,1
káprázatos,1
karitatív,1
karizma,1
karizmatikus,1
kárpótol,1
kárpótolt,1
kártalanított,1
kasszasiker,1
katarzis,1
kategóriaelső,1
kecses,1
kecsesen,1
kedélyes,1
kedvel,1
kedvelt,1
kedvenc,1
kedves,1
kedvesem,1
kedvesen,1
kedveskedés,1
kedveskedő,1
kedvesség,1
kedvezés,1
kedvezmény,1
kedvezményes,1
kedvező,1
kegy,1
kegyelem,1
kegyelmesség,1
kegyes,1
kegyesség,1
kelendő,1
kellem,1
kellemes,1
kellemesen,1
kellemesség,1
kellemetes,1
kényelem,1
kényelmes,1
kényelmesen,1
kényeztet,1
kényeztetés,1
képzett,1
keresztülvihető,1
készség,1
készséges,1
kezelhető,1
kibékít,1
kicsattanó,1
kiegyensúlyozott,1
kiegyensúlyozottság,1
kielégülés,1
kiemelkedő,1
kiemelkedően,1
kiengesztel,1
kiengesztelt,1
kifinomult,1
kifizetődő,1
kifogásolhatatlan,1
kifogástalan,1
kifogástalanul,1
kiforrott,1
kihagyhatatlan,1
kijavít,1
kikapcsolódik,1
kikupál,1
kilábal,1
kimagaslik,1
kimagasló,1
kímél,1
kíméletes,1
kíméletesen,1
kincs,1
kincsem,1
kincsesbánya,1
királyi,1
királyian,1
kircsi,1
kirobbanó,1
kisegít,1
kisimítja,1
kisportolt,1
kiteljesedett,1
kitűnő,1
kitűnőség,1
kitüntet,1
kitüntetés,1
kitüntetett,1
kiváló,1
kiválóan,1
kiválóság,1
kiváltság,1
kívánatos,1
kivitelezhető,1
klafa,1
klassz,1
kockázat-mentes,1
kockázatmentes,1
koherencia,1
koherens,1
kohézió,1
kohéziós,1
kohezív,1
komfort,1
komfortos,1
kompatibilis,1
kompenzáció,1
kompenzál,1
kompenzálás,1
konstruktív,1
konszenzus,1
konszenzuskereső,1
konszolidál,1
konzekvens,1
konzisztens,1
korrekt,1
korrektség,1
korrigál,1
korszerű,1
korszerűsítés,1
költséghatékony,1
költségmentes,1
könnyed,1
könnyedén,1
könyörület,1
könyörületes,1
környezetbarát,1
környezettudatos,1
környezetvédő,1
körülrajong,1
körültekintés,1
körültekintő,1
körültekintően,1
köszi,1
köszönet,1
köszönöm,1
kössz,1
kötelességtudó,1
kötetlen,1
követendő,1
következetes,1
következetesen,1
közbenjár,1
középponti,1
közérthető,1
közkedvelt,1
központi,1
közvetlenség,1
kreatív,1
kúl,1
kulcsfontosságú,1
kulcsmomentum,1
kulcsponti,1
kulturált,1
kultúrált,1
kuncog,1
különleges,1
lájk,1
lakályos,1
lakoma,1
lángelme,1
lángész,1
lankadatlan,1
lankadatlanság,1
látványos,1
lebilincsel,1
lecsillapít,1
leelőz,1
lefőz,1
legális,1
legendás,1
legyőz,1
lehagy,1
lehengerlő,1
lehetőség,1
lekötelezett,1
lélegzetelállító,1
lélegzetelállítóan,1
lélekemelő,1
lélekmelengető,1
lelemény,1
leleményes,1
leleményesség,1
lelkes,1
lelkesedés,1
lelkesedik,1
lelkesen,1
lelkesít,1
lelkesítés,1
lelkesítő,1
lelkesültség,1
lelkiismeretes,1
lényegbeli,1
lényeges,1
lényegi,1
lényegretörő,1
lenyűgöz,1
lenyűgözi,1
lenyűgöző,1
lenyűgözően,1
lenyűgözött,1
lenyűgözte,1
lepipál,1
létfontosságú,1
letisztult,1
logikus,1
lojális,1
lojalitás,1
lovagias,1
lovagiasság,1
luxus,1
magabiztos,1
magabiztosság,1
magasszintű,1
magasztal,1
magasztalás,1
magasztos,1
makkegészséges,1
makulátlan,1
malaszt,1
manőverezhető,1
márkás,1
mázli,1
mázlis,1
mázlista,1
megalapozott,1
megalapozottság,1
megáld,1
megbarátkoztat,1
megbecsül,1
megbecsülés,1
megbecsült,1
megbékélés,1
megbékít,1
megbízható,1
megbízhatóan,1
megbízhatóság,1
megbízik,1
megbocsátás,1
megcsodál,1
megelégedés,1
megérdemelt,1
megérdemelten,1
megéri,1
megerősít,1
megerősítésével,1
megerősítik,1
megerősítő,1
megértés,1
megértet,1
megértő,1
megfelel,1
megfelelő,1
megfelelően,1
megfiatalít,1
megfiatalodott,1
megfizethető,1
megfontolt,1
meghatározó,1
meghitt,1
meghittség,1
megjavít,1
megjavul,1
megjutalmazott,1
megkapó,1
megkedveltet,1
megkegyelmezés,1
megkönnyebbülés,1
megkönnyít,1
megkönyörül,1
megköszön,1
megközelíthető,1
megmenekít,1
megment,1
megmentő,1
megnemesít,1
megnevettet,1
megnyer,1
megnyerhető,1
megnyerő,1
megnyugtatás,1
megnyugtatni,1
megnyugtató,1
megnyugvás,1
megoldás,1
megoldáscentrikus,1
megoldható,1
megóv,1
megörvendeztet,1
megragadó,1
megreformál,1
megsajnál,1
megsegít,1
megspékel,1
megspórol,1
megszabadít,1
megszán,1
megszentelt,1
megszerettesse,1
megszerez,1
megszilárdít,1
megtakarít,1
megtámadhatatlan,1
megtérülő,1
megtisztel,1
megtisztelő,1
megtiszteltetés,1
megtisztul,1
megújít,1
megújító,1
megújuló,1
megújult,1
megúsz,1
megvalósít,1
megvalósítható,1
megvalósul,1
megvalósult,1
megváltás,1
megváltó,1
megváltsa,1
megvéd,1
megverhetetlen,1
megvilágít,1
megvilágosít,1
megvilágosodás,1
meggyógyul,1
meggyőző,1
meggyőzően,1
melegszívű,1
méltán,1
méltányol,1
méltányos,1
méltányosan,1
méltányosság,1
méltat,1
méltatás,1
méltó,1
méltóság,1
méltóságérzet,1
méltóságteljes,1
mélytányol,1
menedék,1
mentesít,1
mentor,1
mentsvár,1
menny,1
mennybéli,1
mennybemenetel,1
mennyei,1
mennyország,1
mértéktartó,1
mérvadó,1
mesebeli,1
meseország,1
mesés,1
mesésen,1
meseszép,1
messiás,1
mester,1
mesterek,1
mesteri,1
mesterien,1
mesterkéletlen,1
mestermű,1
mindentudó,1
minőségi,1
mintakép,1
mirákulum,1
modernizáció,1
módi,1
módos,1
móka,1
mókás,1
mókázik,1
mókázó,1
mosoly,1
mosolygó,1
mosolygós,1
mosolyog,1
mosolyogva,1
motiváció,1
motivál,1
motiválás,1
motivált,1
mozgalmas,1
mulat,1
mulatozás,1
mulatság,1
mulatságos,1
mulatságosan,1
mulattat,1
mulattató,1
munkaképes,1
muri,1
muris,1
mutatós,1
műremek,1
művelt,1
nagylelkű,1
nagylelkűen,1
nagylelkűség,1
nagyrabecsülés,1
nagyrabecsült,1
nagyszerű,1
nagyszerűen,1
nagyszerűség,1
nagyvonalú,1
naprakész,1
nélkülözhetetlen,1
nemes,1
nemesen,1
nemesít,1
nemesített,1
nemeslelkű,1
nemesül,1
nemzetvédő,1
népszerű,1
népszerűség,1
neves,1
nevet,1
nevetgél,1
nevezetes,1
nimbusz,1
nívós,1
nobilis,1
normális,1
nyer,1
nyerés,1
nyereség,1
nyereséges,1
nyertes,1
nyertesek,1
nyíltszívű,1
nyitottan,1
nyitottság,1
nyugalmas,1
nyugalom,1
nyugis,1
nyugodt,1
nyugodtság,1
nyugtató,1
nyújt,1
oázis,1
odaadás,1
odaadással,1
odaadó,1
odafigyel,1
odavan,1
okos,1
okosan,1
okosít,1
okosság,1
oltalmaz,1
oltalom,1
oltári,1
optimális,1
optimalizál,1
optimista,1
optimizmus,1
originál,1
oroszlánszívű,1
orvosol,1
orvosolni,1
orvosság,1
osztályeslő,1
otthonos,1
óv,1
ováció,1
óvatos,1
óvatosság,1
ölelés,1
ölelget,1
önálló,1
önbecsülés,1
önbizalom,1
önfeláldozás,1
önfeláldozó,1
önzetlen,1
önzetlenség,1
önzetlenül,1
őrangyal,1
örökifjú,1
öröm,1
örömittas,1
örömmámor,1
örömteli,1
örömteljes,1
örömtelt,1
örömujjongás,1
örülni,1
örvend,1
örvendezik,1
örvendező,1
őszinte,1
őszintén,1
őszinteség,1
összebékít,1
összeegyeztethető,1
összefog,1
összefogás,1
összefogó,1
összeforr,1
összehangol,1
összehangolása,1
összeillenek,1
összepasszol,1
összetartás,1
összetartozás,1
összhang,1
ösztönöz,1
ösztönzés,1
ösztönzése,1
ötletdús,1
ötletes,1
ötletesség,1
ötletgazdag,1
pacifista,1
pallérozott,1
parádé,1
parádés,1
paradicsomi,1
páratlan,1
pártatlan,1
pártatlanság,1
pártatlanul,1
pártfogás,1
pártfogó,1
pártfogol,1
patronálás,1
patronáló,1
pátyolgat,1
pazar,1
pazarul,1
pedáns,1
példaértékű,1
példakép,1
példamutató,1
példás,1
perfekció,1
perfekt,1
pesztrál,1
pezsdít,1
pihe-puha,1
pihen,1
pihenés,1
pihenő,1
pionír,1
poén,1
poénkodik,1
poénos,1
poétikus,1
pofonegyszerű,1
polihisztor,1
pompa,1
pompás,1
pompásan,1
pompázatos,1
pontos,1
populáris,1
potenciál,1
pótol,1
pozitív,1
pozitívan,1
pöpec,1
pörgős,1
praktikus,1
precíz,1
preferál,1
preferáló,1
preferált,1
prémium,1
presztízs,1
príma,1
privilégium,1
privilegizált,1
pró,1
probléma-mentes,1
problémamegoldó,1
problémamentes,1
produktív,1
professzionális,1
professzionálisan,1
professzionista,1
próféta,1
profik,1
profin,1
profit,1
progresszív,1
prominens,1
protezsál,1
prudens,1
rábíz,1
rábólint,1
rábólintás,1
racionális,1
racionalizál,1
ragyogó,1
ragyogóan,1
rajong,1
rajongás,1
rajongó,1
rang,1
rangos,1
rátermett,1
rátermettség,1
reális,1
reformer,1
regenerálódik,1
relaxál,1
relaxálás,1
releváns,1
remek,1
remekel,1
remeklés,1
remekmű,1
remekművek,1
remekül,1
remény,1
reménykedés,1
reménykedő,1
reménység,1
reménysugár,1
reménytadó,1
reményteljes,1
rendben,1
rendes,1
rendezett,1
rendszerető,1
rendszerez,1
rendszersít,1
renomé,1
rentábilis,1
repes,1
reputáció,1
respekt,1
respektál,1
respektus,1
részvét,1
rettenthetetlen,1
revitalizál,1
riszpekt,1
rokonszenv,1
rokonszenves,1
románc,1
romantikus,1
romantikusan,1
romlatlan,1
rózsás,1
röhög,1
rötyög,1
rugalmas,1
rugalmasság,1
rutinos,1
sárm,1
sármos,1
segedelem,1
segély,1
segélyez,1
segít,1
segített,1
segítőkész,1
segítség,1
selymes,1
serény,1
serkent,1
serkenti,1
sértetlen,1
sérthetetlen,1
siker,1
sikerek,1
sikeres,1
sikeresen,1
sikerorientált,1
sikerül,1
sikerült,1
sikkes,1
simogat,1
simogató,1
simulékony,1
sokoldalú,1
sokoldalúság,1
somolyog,1
specialista,1
sportos,1
sportszerű,1
stabil,1
stabilitás,1
stabilizálódik,1
stílusos,1
stílusosan,1
strapabíró,1
stresszmentes,1
szabad,1
szabadság,1
szabálykövető,1
szabályos,1
szabályosan,1
szabályszerű,1
szakavatott,1
szakavatottan,1
szakember,1
szakértelem,1
szakértő,1
szaki,1
szakképzett,1
szakrális,1
szakszerűen,1
szaktekintély,1
szapora,1
szárnyal,1
szavahihető,1
szavatartó,1
szavatosság,1
szelíd,1
szelídség,1
szellemes,1
szellemeskedik,1
szemérmes,1
szemfüles,1
szemrevaló,1
szende,1
szent,1
szentesít,1
szentség,1
szentséges,1
szenvedélyes,1
szenvedélyesen,1
szenvedéllyel,1
szenzációs,1
szenzációsan,1
szép,1
szépen,1
szépít,1
szeplőtelen,1
szeplőtlen,1
szépség,1
szépségem,1
szépséges,1
szerelem,1
szerelmem,1
szerencse,1
szerencsére,1
szerencsés,1
szerény,1
szerénység,1
szeret,1
szeretet,1
szeretetreméltó,1
szeretett,1
szeretetteljes,1
szeretget,1
szerethető,1
szereti,1
szeretnivaló,1
szerető,1
szexepil,1
szexi,1
szieszta,1
szimpátia,1
szimpatikus,1
szimpi,1
színpompás,1
színvonalas,1
sziporkázó,1
szisztematizál,1
szívdöglesztő,1
szivecském,1
szívélyes,1
szívélyesen,1
szívélyesség,1
szívem,1
szíves,1
szívesebben,1
szívesen,1
szívesség,1
szívlel,1
szívmelengető,1
szofisztikált,1
szófogadó,1
szolgálatkész,1
szolidál,1
szolidáris,1
szolidaritás,1
szórakozik,1
szórakoztat,1
szórakoztatja,1
szórakoztató,1
szorgalmas,1
szorgalmasan,1
szorgalom,1
szorgos,1
szubvenció,1
szubvenciók,1
szubvencionál,1
szupcsi,1
szuper,1
szuperbiztos,1
szupi,1
szurkolás,1
szuverén,1
szűz,1
szűzies,1
tájékozott,1
takarékos,1
takarékoskodik,1
takarékosság,1
takaros,1
találékony,1
találékonyság,1
talentum,1
tálentum,1
talpraesett,1
talpraesetten,1
talpraesettség,1
támadhatatlan,1
támogat,1
támogatás,1
támogatást,1
támogatja,1
támogató,1
támogatott,1
tanácsos,1
tanít,1
tanító,1
tántoríthatatlan,1
tántoríthatatlanság,1
tanulékony,1
tanulságos,1
tanult,1
tanúsít,1
tapintat,1
tapintatos,1
tápláló,1
tartalmas,1
teccik,1
tehermentes,1
tehermentesít,1
tehetős,1
tehetség,1
tehetségek,1
tehetséges,1
tekintély,1
tekintélyes,1
teljesít,1
teljesítés,1
teljesíthető,1
teljesítmény,1
teljesül,1
teljesült,1
terheletlen,1
térítésmentes,1
termékeny,1
termelékeny,1
testhezálló,1
testreszabott,1
testvériesség,1
tetszésnyilvánítás,1
tetszetős,1
tetszett,1
tetszik,1
tetterő,1
tetterős,1
tévedhetetlenség,1
tévedhetetlenül,1
tevékeny,1
tipp-topp,1
tiszta,1
tisztaság,1
tisztáz,1
tisztel,1
tisztelet,1
tiszteletadás,1
tiszteletreméltó,1
tisztelettel,1
tiszteletteljes,1
tisztelettudó,1
tisztelik,1
tisztelt,1
tisztesség,1
tisztességes,1
tisztességtudó,1
titáni,1
tolerábilis,1
tolerancia,1
toleráns,1
top,1
toplistás,1
tökéletes,1
tökéletesen,1
tökéletesít,1
tökéletesített,1
tökéletesség,1
tökély,1
tökös,1
törekszik,1
törekvés,1
törekvő,1
töretlen,1
törődés,1
törvényes,1
törvénytisztelő,1
tréfa,1
tréfál,1
tréfálkozik,1
tréfálkozó,1
tréfás,1
trendi,1
trófea,1
tromf,1
trükkös,1
tubicám,1
tudós,1
túlélés,1
túlélő,1
túlragyog,1
túlszárnyal,1
túlszárnyalta,1
túlteljesít,1
túlteljesítette,1
túltesz,1
tuti,1
tutifix,1
tutkeráj,1
tündéri,1
tündérkém,1
tündérmese,1
tündibündi,1
tündöklés,1
tündöklő,1
tüneményes,1
türelem,1
türelmes,1
türelmesen,1
türelmesség,1
udvarias,1
udvariasan,1
udvariasság,1
újdonság,1
újítás,1
újító,1
újjáéleszteni,1
újjászületés,1
újjáteremt,1
ujjong,1
ujjongás,1
ujjongó,1
ujjongva,1
újraéleszteni,1
unikális,1
útmutatás,1
úttörő,1
überel,1
űberkirály,1
üde,1
üdít,1
üdvös,1
üdvrivalgás,1
ügyel,1
ügyes,1
ügyesen,1
ügyesség,1
ünnep,1
ünnepel,1
ünnepelt,1
ünnepély,1
ünnepélyes,1
ünnepi,1
ünnepies,1
ünneplés,1
ütőképes,1
vagány,1
vagyonos,1
vajszívű,1
választékos,1
választékosság,1
valhalla,1
vállveregetés,1
valódi,1
varázs,1
varázslat,1
varázslatos,1
varázsszer,1
vastaps,1
vátesz,1
véd,1
védelem,1
védelmez,1
védelmező,1
védő,1
védőbástya,1
véghezvihető,1
véglelges,1
végrehajtható,1
vendégszeretet,1
vendégszerető,1
verhetetlen,1
verhetetlenség,1
versenyképes,1
verzátus,1
veszélytelen,1
vétlen,1
viccelődik,1
viccelődő,1
vicces,1
vidám,1
vidáman,1
vidámság,1
vidít,1
víg,1
vigadalom,1
vigadozás,1
vigalom,1
vígan,1
vigasság,1
vigasz,1
vigasztalás,1
vigasztaló,1
vígkedélyű,1
vigyorgós,1
vigyori,1
vigyorog,1
vihog,1
világhírű,1
virágkor,1
virgonc,1
virtuóz,1
virul,1
visszafogott,1
vitalitás,1
vitéz,1
vitézül,1
vitézség,1
vivát,1
vívmány,1
vonzalom,1
vonzó,1
vonzóan,1
wow,1
zabálnivaló,1
zajmentes,1
zajtalan,1
zamatos,1
zökkenőmentes,1
zörejmentes,1
zseni,1
zseniális,1
zseniálisan,1
zsírkaraj,1
zsírkirály,1
abajgat,-1
abajgós,-1
abajog,-1
aberrált,-1
abnormális,-1
abszurd,-1
abszurditás,-1
abszurdum,-1
ácsingózik,-1
ádáz,-1
ádázul,-1
addikt,-1
addiktív,-1
adócsaló,-1
adós,-1
adósság,-1
áfacsaló,-1
affér,-1
áfium,-1
aggály,-1
aggályos,-1
aggályoskodik,-1
aggályoskodó,-1
aggaszt,-1
aggasztó,-1
aggodalmasan,-1
aggodalmaskodik,-1
aggodalmaskodó,-1
aggodalom,-1
aggódás,-1
aggódik,-1
aggódó,-1
aggódva,-1
aggszűz,-1
agonizál,-1
agresszió,-1
agresszív,-1
agresszivitás,-1
agresszor,-1
ágrólszakadt,-1
agyalágyult,-1
agyatlan,-1
agyatlanság,-1
agybajos,-1
agyérgörcs,-1
agyhalott,-1
agyhúgykő,-1
agymenés,-1
agymosás,-1
agyonabajgat,-1
agyonadminisztrált,-1
agyonadósodott,-1
agyonadóztat,-1
agyonadóztatás,-1
agyonadóztató,-1
agyonaggat,-1
agyonaggatott,-1
agyonaggódás,-1
agyonaggódik,-1
agyonagitált,-1
agyonágyúz,-1
agyonajnároz,-1
